hrhhid2,gestfips,hefaminc,hwhhwgt,helaptop,hedesktp,hetablet,hemphone,heinhome
15011,12,15,3369.7304,1,1,1,1,1
16011,12,12,3107.0241,2,2,2,1,1
15011,12,5,4463.9168,2,2,2,1,1
15011,12,8,3384.2428,2,2,2,1,1
15011,12,12,4441.706,2,2,2,1,2
15011,12,11,4145.3073,1,1,1,1,1
15012,12,16,4705.8689,1,1,1,1,1
15011,12,13,4492.3125,1,1,1,1,1
15011,12,13,4394.6227,1,1,2,1,2
15011,12,13,4394.6227,1,1,1,1,1
15011,12,13,3837.1275,1,2,2,1,1
16011,12,13,7109.6985,1,1,1,1,1
16011,12,8,4757.8761,1,2,1,1,1
16011,12,9,3315.3978,1,2,1,1,1
16011,12,15,3775.2587,2,1,2,1,1
16011,12,16,3771.1291,1,1,1,1,1
16011,12,15,4228.9084,1,2,1,1,1
16011,12,15,4475.9366,1,2,1,1,1
16011,12,13,3697.8454,1,2,1,1,1
16011,12,14,4697.0101,1,1,1,1,2
16011,12,15,4947.3382,1,1,1,1,1
16011,12,12,5775.249,1,2,2,1,1
15011,12,15,7714.6888,1,2,2,1,1
15011,12,8,3482.7007,1,2,1,1,1
15011,12,15,3435.6806,2,2,2,2,2
15011,12,8,3367.5798,2,1,2,2,1
15011,12,11,5711.3054,1,1,1,1,1
15011,12,16,3934.8708,1,1,1,1,1
16011,12,16,3606.9846,1,2,2,2,1
16011,12,15,4474.2206,1,1,1,1,1
16011,12,15,4474.2206,1,2,1,1,1
16011,12,10,4333.8149,1,2,1,1,1
16011,12,8,3421.6817,2,2,1,1,1
15011,12,16,4038.911,1,2,1,1,1
15011,12,15,3217.3282,1,1,1,1,1
15011,12,13,3482.3116,2,2,1,1,1
16011,12,11,3366.8604,1,2,1,1,1
16011,12,11,3377.7451,1,2,1,1,1
16011,12,12,3632.3225,2,2,1,1,2
15011,12,14,4374.8662,1,2,2,1,1
15011,12,16,4374.8662,1,1,1,1,1
15011,12,15,3344.6663,1,1,2,1,1
15011,12,4,4716.4177,2,2,1,1,1
15011,12,15,4759.2819,1,2,2,1,1
15011,12,9,6933.4623,2,2,2,2,2
16011,12,13,3480.4868,1,2,1,1,1
16011,12,15,3231.2776,1,2,1,1,1
16011,12,14,4772.3579,1,2,2,1,1
15011,12,16,3414.5264,2,1,1,1,1
16011,12,14,3775.3744,2,1,1,1,1
16011,12,12,4612.4816,1,2,1,1,1
16011,12,6,4221.0646,1,2,1,1,1
15011,12,12,3745.4027,1,2,1,1,1
15011,12,11,3745.4027,2,2,1,1,1
15011,12,8,4248.9812,1,2,2,1,1
15011,12,11,4027.7181,1,1,1,1,1
15011,12,13,4256.9666,1,1,2,1,1
15011,12,13,3926.7912,1,1,1,1,1
15011,12,12,4452.3827,2,2,1,1,2
16011,12,12,3357.2847,1,2,2,1,1
16011,12,16,4106.191,1,2,1,1,1
15011,12,14,5137.6092,1,2,2,1,1
16011,12,16,5814.2475,1,2,1,1,1
15011,12,12,4380.0408,2,2,2,1,1
