hrhhid2,gestfips,prtage,pesex,peeduca,hefaminc,pemlr,ptdtrace,pwsswgt,pwprmwgt,pelaptop,pedesktp,petablet,pemphone,peinhome
15011,9,36,1,43,13,1,1,3010.4013,5529.8204,2,1,2,1,1
15011,9,41,2,40,13,1,1,3220.9778,0,2,2,2,1,1
15011,9,17,1,37,13,7,1,3162.513,0,1,1,2,1,1
15011,9,10,2,-1,13,-1,1,2007.7707,0,2,2,1,1,1
15011,9,8,1,-1,13,-1,1,3639.507,0,2,1,1,2,1
15011,9,30,1,39,9,1,1,3749.479,6866.8862,1,2,2,2,2
16011,9,53,2,43,8,7,1,2978.5376,6305.6571,2,2,1,1,1
16011,9,14,2,-1,8,-1,1,2457.1432,0,1,2,1,1,1
16011,9,13,1,-1,8,-1,1,2637.0796,0,1,1,2,1,1
16011,9,53,1,39,16,1,1,2522.3036,0,1,2,2,1,1
16011,9,41,2,39,16,1,1,2724.3363,0,1,2,2,1,1
16011,9,19,2,39,16,1,1,3156.5371,0,1,2,2,1,1
16011,9,12,2,-1,16,-1,1,4067.1005,0,1,2,2,1,1
16011,9,16,1,37,16,1,1,3601.9678,11750.4751,1,2,2,1,1
15011,9,49,2,43,14,1,1,2933.5665,6210.4519,1,2,1,1,1
15011,9,85,2,43,15,5,1,2531.3954,0,2,2,1,2,2
15011,9,57,2,43,15,1,1,2791.1631,5040.4678,2,2,2,2,1
16011,9,63,1,39,15,1,1,2757.1359,0,2,1,2,1,1
16011,9,69,2,39,15,1,1,2086.7806,3148.7101,1,2,2,1,1
16011,9,70,2,43,8,5,1,2529.9053,3817.3339,1,2,2,1,1
16011,9,71,2,39,9,6,1,2687.3087,5480.4977,2,2,2,1,1
16011,9,40,1,39,9,6,1,3992.697,0,2,2,2,2,2
15011,9,25,2,43,16,1,1,3948.5015,0,1,2,2,1,1
15011,9,60,2,42,16,7,1,2766.3861,0,1,2,1,1,1
15011,9,23,1,43,16,1,1,3652.9214,11916.6979,1,2,2,1,1
15011,9,61,1,39,15,1,1,2908.457,5067.9471,2,1,2,1,1
15011,9,57,2,40,15,1,1,2686.3724,0,1,2,2,1,1
15011,9,17,2,37,15,7,1,3088.9232,0,1,2,2,2,1
15011,9,57,1,39,11,1,1,2591.0705,0,2,2,2,1,2
15011,9,62,1,43,4,2,1,3092.7673,0,2,2,2,1,1
15011,9,13,2,-1,4,-1,1,3188.3262,0,2,1,2,1,1
15011,9,21,1,39,4,7,1,3652.9214,11916.6979,1,1,2,1,1
15011,9,52,2,43,4,2,1,3027.3438,0,2,2,2,1,1
15011,9,41,1,37,12,1,1,3227.2665,0,1,2,2,2,2
15011,9,19,2,40,12,7,1,3088.9232,10429.2078,1,1,2,1,1
15011,9,17,2,37,12,7,1,3088.9232,0,1,2,2,2,1
15011,9,13,1,-1,12,-1,1,3385.9206,0,1,1,2,1,1
16011,9,34,1,44,16,1,1,2969.515,5438.4413,2,2,2,1,1
16011,9,32,2,44,16,1,1,2999.8822,0,1,2,2,1,1
16011,9,3,2,-1,16,-1,1,4286.7161,0,2,2,1,1,1
16011,9,58,2,42,11,1,1,3978.5481,7184.7266,2,2,1,2,1
16011,9,63,1,39,11,5,1,3407.5511,5937.6119,2,2,2,1,2
16011,9,70,1,39,11,5,1,3329.9449,0,2,2,2,2,2
16011,9,85,2,39,11,5,1,3770.6724,0,2,2,2,2,2
16011,9,74,1,45,16,5,1,3329.9449,5270.6358,1,1,1,1,1
16011,9,76,1,39,8,5,2,2784.082,0,2,2,2,2,2
16011,9,57,2,37,8,5,2,4751.8353,0,2,2,2,1,2
16011,9,76,2,40,7,5,1,2490.5848,3758.0038,2,2,2,1,1
15011,9,40,2,43,12,1,3,5712.4737,0,1,2,2,2,2
15011,9,32,2,40,12,6,3,5600.8127,0,2,2,2,2,2
15011,9,20,2,41,12,1,3,6364.0984,20529.5045,1,2,2,2,1
15011,9,18,2,40,12,7,3,7378.4714,0,2,2,2,2,2
15011,9,23,1,39,12,7,3,5631.4103,0,1,2,2,2,2
16011,9,30,2,43,1,7,1,3058.1608,6168.205,2,2,1,1,1
16011,9,55,2,45,16,1,1,2746.1645,4959.2064,1,2,1,1,1
